what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366940333825
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366940333890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940338565
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940355148
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1366940358009
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940361331
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940369401
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366940369829
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366940369901
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366940373434
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366940373522
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366940373822
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366940373822
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940376535
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940381389
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1366940384936
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940389196
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940391470
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366940392911
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940399580
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940400744
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940409525
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940412647
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940427271
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940428800
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366940430292
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1366940437451
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940439380
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940440889
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940449027
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940508987
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940509740
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940510759
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366940512540
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366940514501
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940515919
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940523000
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940526022
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940575320
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940586444
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940588429
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940590292
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940594294
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940596377
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940598145
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1366940602931
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366940604248
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366940605902
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940608709
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940622676
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940633403
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940641813
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940651430
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940653328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1366940655599
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366940659225
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1366940662270
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366940663751
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1366940666865
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1366940668882
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366940670277
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940671119
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940672406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940673085
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940720069
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1366940739902
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1366940753153
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940755309
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366940765105
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366940766618
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1366940789579
