what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365959393187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365959395214
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.indent",1365959415201
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365959417705
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365959419168
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1365959420837
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1365959422438
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1365959422744
started,bundle,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui",1365959422779
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1365959422990
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1365959423277
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1365959426724
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365959434848
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365959438169
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365959445954
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365959451204
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365959452105
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1365959457800
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1365959458069
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1365959458102
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1365959458138
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1365959458143
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1365959458192
started,bundle,org.eclipse.wst.common.modulecore,1.2.101.v201108231700,"org.eclipse.wst.common.modulecore",1365959458205
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1365959458568
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1365959458920
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1365959462074
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365959476182
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365959477176
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365959488173
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365959521071
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365959521827
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365959529212
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365959529929
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365959847873
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365959850648
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365959855055
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365959858551
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1365959873148
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1365959889120
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365959895568
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365962610052
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365962620217
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365962626876
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365962646884
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365963004935
