what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367285601186
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367285601754
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367285608799
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1367285610683
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367285613819
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367285616712
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367285617059
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367285617118
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367285618242
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367285648321
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1367285649585
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367285652253
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367285654224
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367285654413
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367285654455
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1367285661742
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.1.v201108080010,"org.eclipse.jpt.jaxb.ui",1367285661775
started,bundle,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui",1367285661844
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1367285661924
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1367285661960
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1367285662062
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1367285662076
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20110728_r371,"org.eclipse.pde.api.tools",1367285662198
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1367285662203
started,bundle,org.eclipse.jpt.jaxb.core,1.0.1.v201108080010,"org.eclipse.jpt.jaxb.core",1367285662655
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1367285662975
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367285663626
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367285664869
