what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1409014904019
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1409014904021
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1409014904023
os,sysinfo,,,"win32",1409014904029
arch,sysinfo,,,"x86_64",1409014904029
ws,sysinfo,,,"win32",1409014904029
locale,sysinfo,,,"pt_BR",1409014904029
processors,sysinfo,,,"4",1409014904029
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1409014904029
java.runtime.version,sysinfo,,,"1.7.0_45-b18",1409014904029
java.specification.name,sysinfo,,,"Java Platform API Specification",1409014904029
java.specification.vendor,sysinfo,,,"Oracle Corporation",1409014904029
java.specification.version,sysinfo,,,"1.7",1409014904029
java.vendor,sysinfo,,,"Oracle Corporation",1409014904029
java.version,sysinfo,,,"1.7.0_45",1409014904029
java.vm.info,sysinfo,,,"mixed mode",1409014904029
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1409014904029
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1409014904029
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1409014904029
java.vm.specification.version,sysinfo,,,"1.7",1409014904029
java.vm.vendor,sysinfo,,,"Oracle Corporation",1409014904029
java.vm.version,sysinfo,,,"24.45-b08",1409014904029
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1409014904103
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1409014904242
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1409014904248
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1409014905464
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1409014905845
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1409014906053
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1409014906145
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1409014906298
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1409014906680
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1409014906914
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1409014906925
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1409014906989
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1409014907421
