what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1371778826319
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1371778826319
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1371778826320
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1371778826320
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1371778826321
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1371778826322
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1371778826332
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1371778826333
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1371778826347
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1371778826348
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1371778826349
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1371778826351
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1371778826351
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1371778826351
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1371778826352
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1371778826362
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1371778826363
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1371778826365
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1371778826366
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1371778826367
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1371778826369
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1371778826370
os,sysinfo,,,"win32",1371778826374
arch,sysinfo,,,"x86_64",1371778826374
ws,sysinfo,,,"win32",1371778826374
locale,sysinfo,,,"pt_BR",1371778826374
processors,sysinfo,,,"2",1371778826374
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1371778826374
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1371778826374
java.specification.name,sysinfo,,,"Java Platform API Specification",1371778826374
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1371778826374
java.specification.version,sysinfo,,,"1.6",1371778826374
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1371778826374
java.version,sysinfo,,,"1.6.0_21",1371778826374
java.vm.info,sysinfo,,,"mixed mode",1371778826374
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1371778826374
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1371778826374
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1371778826374
java.vm.specification.version,sysinfo,,,"1.0",1371778826374
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1371778826374
java.vm.version,sysinfo,,,"17.0-b17",1371778826374
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1371778826427
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1371778826474
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1371778826536
started,bundle,org.eclipse.emf.common,2.7.0.v20110912-0920,"org.eclipse.emf.common",1371778826641
started,bundle,org.eclipse.emf.ecore,2.7.0.v20110912-0920,"org.eclipse.emf.ecore",1371778826924
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1371778827153
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1371778827156
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1371778827225
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1371778827572
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1371778827957
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1371778828090
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1371778828147
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1371778828302
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1371778828854
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1371778828894
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1371778829243
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371778830877
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371778833615
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371778856791
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371778868342
